Question Number,Question,Option A,Option B,Option C,Option D,Ans.
15,"With reference to Indian history, consider the following texts: 1. Nettipakarana 2. Parishishta Parvan 3. Avadanasataka 4. Trishashtilakshana Mahapurana Which of the above are Jaina texts?","1, 2 and 3",2 and 4 only,"1, 3 and 4","2, 3 and 4",B
16,"With reference to Indian history, consider the following pairs: Historical person Known as 1. Aryadeva Jaina scholar 2. Dignaga Buddhist scholar 3. Nathamuni Vaishnava scholar How many pairs given above are correctly matched?",None of the pairs,Only one pair,Only two pairs,All three pairs,C
17,"With reference to the history of Ancient India, which of the following was/were common to both Buddhism and Jainism? 1. Avoidance of extremities of penance and enjoyment 2. Indifference to the authority of Vedas 3. Denial of the efficacy of rituals Select the correct answer using the codes given below:",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",B
18,The Jain philosophy holds that the world is created and maintained by:,Universal law,Universal Truth,Universal Faith,Universal Soul,A
19,"From the decline of Guptas until the rise of Harshavardhana in the early seventh century, which of the following kingdoms were holding power in Northern India? 1. The Guptas of Magadha 2. The Paramaras of Malwa 3. The Pushyabhutis of Thanesar 4. The Maukharis of Kanauj 5. The Yadavas of Devagiri 6. The Maitrakas of Valabhi Select the correct answer using the code given below:","1, 2 and 5","1, 3, 4 and 6","2, 3 and 4",5 and 6,B
20,"With reference to the history of India, the terms \kulyavapa\"" and \""dronavapa\"" denote""",Measurement of land,Coins of different monetary value,Classification of urban land,Religious rituals,A
21,"With reference to the period of the Gupta dynasty in ancient India, the towns Ghantasala, Kadura and Chaul were well known as:",Ports handling foreign trade,Capitals of powerful kingdoms,Places of exquisite stone art and architecture,Important Buddhist pilgrimage centres,A
22,"With reference to forced labour (Vishti) in India during the Gupta period, which one of the following statements is correct?","It was considered a source of income for the State, a sort of tax paid by the people.",It was totally absent in the Madhya Pradesh and Kathiawar regions of the Gupta Empire.,The forced labourer was entitled to weekly wages.,The eldest son of the labourer was sent as the forced labourer.,A
23,"The Chinese traveller Yuan Chwang (Hiuen Tsang) who visited India recorded the general conditions and culture of India at that time. In this context, which of the following statements is/are correct? 1. The roads and river routes were completely immune from robbery. 2. As regards punishment for offences, ordeals by fire, water and poison were the instruments for determining the innocence or guilt of a person. 3. The tradesmen had to pay duties at ferries and barrier stations. Select the correct answer using the codes given below.",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",B
24,"India maintained its early cultural contacts and trade links with Southeast Asia across the Bay of Bengal. For this pre-eminence of the early maritime history of the Bay of Bengal, which of the following could be the most convincing Solution/Solutions?","As compared to other countries, India had better ship-building technology in ancient and medieval times.","The rulers of southern India always patronised traders, Brahmin priests and Buddhist monks in this context.",Monsoon winds across the Bay of Bengal facilitated sea voyages.,Both (a) and (b) are convincing Solutions in this context.,C
25,"With reference to the history of ancient India, Bhavabhuti, Hastimalla and Kshemeshvara were famous:",Jain monks,Playwrights,Temple architects,Philosophers,B
26,"With reference to the scholars/literatures of ancient India, consider the following statements: 1. Panini is associated with Pushyamitra Shunga. 2. Amarasimha is associated with Harshavardhana. 3. Kalidasa is associated with Chandra Gupta-II. Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,3 only,"1, 2 and 3",C
27,"With reference to the cultural history of India, the memorising of chronicles, dynastic histories and epic tales was the profession of which of the following?",Shramana,Parivraajaka,Agrahaarika,Magadha,D
